model_type,combination,person_id,train_r2,train_rmse,train_mae,test_r2,test_rmse,test_mae,n_train,n_test,n_predictors
linear_regression,manufacturing_data_cycle_time,1,1,1.53837014910685e-15,1.14194368247159e-15,0.668777938111833,0.195638823789512,0.176253482480282,7,3,11
linear_regression,manufacturing_data_cycle_time,2,1,2.57954293151698e-14,1.30689110327304e-14,-223.86236339638,6.16252827230384,5.36214273189634,7,3,11
linear_regression,manufacturing_data_cycle_time,3,1,2.36793382928998e-14,1.76366857626168e-14,-138.474049205933,5.3688580569701,3.98675324675333,7,3,12
linear_regression,manufacturing_data_cycle_time,4,1,1.71174028135722e-15,1.52259157662879e-15,0.203582880130547,0.373919041949775,0.28112761152736,7,3,12
linear_regression,manufacturing_data_cycle_time,5,1,2.82865753799248e-15,2.66453525910038e-15,-0.556019679354112,1.25706977925724,1.10534131205674,7,3,12
linear_regression,manufacturing_data_cycle_time,6,1,6.87365503222172e-15,5.64627709666508e-15,0.98904106036301,0.19905440233142,0.178438438438438,7,3,12
linear_regression,manufacturing_data_cycle_time,7,1,4.53232147711911e-14,3.04518315325757e-14,-16.6815897919964,7.40622851233667,6.28870967741821,7,3,12
linear_regression,manufacturing_data_cycle_time,8,1,1.30836851243432e-14,1.20538499816446e-14,0.473105224215512,1.60460560190561,1.37324414715684,7,3,12
linear_regression,manufacturing_data_cycle_time,9,1,7.26229896346716e-15,4.82153999265782e-15,0.990027869787398,0.363086162515996,0.297613529058285,7,3,12
linear_regression,manufacturing_data_cycle_time,10,1,1.3427995533605e-15,1.01506105108586e-15,0.921362005387571,1.18893298420609,0.817964743589743,7,3,12
linear_regression,manufacturing_data_cycle_time,11,1,6.74748424768488e-15,5.83660104374368e-15,0.992748014743206,0.298500796517891,0.290792349726779,7,3,12
linear_regression,manufacturing_data_cycle_time,12,1,2.2267811435768e-15,1.77635683940025e-15,0.947333788344547,0.351720171979607,0.267423418903478,7,3,12
linear_regression,manufacturing_data_cycle_time,13,1,4.41084615590374e-14,3.50196062624621e-14,-1.33443447381872,7.67296796746267,7.10628794022964,7,3,12
linear_regression,manufacturing_data_cycle_time,14,1,8.62428628472167e-15,7.8667231459154e-15,0.973979514157484,0.685936008192132,0.633223864258355,7,3,12
linear_regression,manufacturing_data_cycle_time,15,1,7.40977185906438e-14,6.95316819993812e-14,-0.257838416157553,13.5160223871434,7.95100100992065,7,3,12
linear_regression,manufacturing_data_cycle_time,16,1,1.23069611928548e-14,1.11656715619444e-14,0.986880012757872,1.39426465633409,1.08385330005547,7,3,12
linear_regression,manufacturing_data_throughput,1,1,2.68129870507227e-13,2.47674896464949e-13,-7.06278742894428,11.8973405701218,9.49629629629642,7,3,12
linear_regression,manufacturing_data_throughput,2,1,1.12153911336895e-13,1.01506105108586e-13,-78.5205505074955,37.3634506201274,26.3393039918094,7,3,12
linear_regression,manufacturing_data_throughput,3,1,7.96677441288392e-14,6.09036630651514e-14,-5.18217599424624,48.3126783779357,45.0571459553252,7,3,12
linear_regression,manufacturing_data_throughput,4,1,2.40207286517636e-14,1.21807326130303e-14,0.966984972665794,2.26620187067576,1.90935672514615,7,3,12
linear_regression,manufacturing_data_throughput,5,1,1.54275923120454e-14,1.31957936641161e-14,0.536912408587879,3.20793319205899,2.20014640522876,7,3,12
linear_regression,manufacturing_data_throughput,6,1,2.40207286517636e-14,2.03012210217172e-14,-2.69281104624216,8.05166749676572,7.13964548205793,7,3,12
linear_regression,manufacturing_data_throughput,7,1,1.30797223812713e-13,1.07596471415101e-13,-2.10898319688222,39.7498974737172,38.7492546213468,7,3,12
linear_regression,manufacturing_data_throughput,8,1,3.3970440237408e-14,2.43614652260606e-14,0.71762587575791,7.21246065264357,6.11795681937869,7,3,12
linear_regression,manufacturing_data_throughput,9,1,2.0452913450098e-14,1.4210854715202e-14,0.983152945019472,2.28611697731313,2.03412672535591,7,3,12
linear_regression,manufacturing_data_throughput,10,1,4.72085241419851e-14,3.95873809923484e-14,0.952077706315644,3.84603882593132,3.5370294113977,7,3,12
